ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,target,target_name
-6744,2956,15636,-774,1114,280,-6764,2800,15524,-636,1113,347,3,Fair
-556,6084,16592,67,3487,-1393,-776,5752,16508,22,3372,-1330,3,Fair
-4500,2984,15952,-974,-2226,918,-4028,2988,15996,-760,-1644,1192,3,Fair
-1976,9428,16480,-1150,1244,1606,-1872,9332,16596,-1284,964,1629,3,Fair
-3120,6252,15640,-909,2082,-224,-3364,6328,15516,-958,2029,-201,3,Fair
-5080,2188,17144,-2212,1693,1375,-5000,1836,17144,-2018,1541,1374,3,Fair
-560,4520,16824,175,-381,433,-564,4436,16828,213,-468,467,3,Fair
-5756,4064,16312,1132,-1747,585,-5816,3748,16280,1281,-1925,589,3,Fair
-3888,3968,17580,1054,1741,-699,-3964,3944,17760,1107,1701,-734,3,Fair
-1572,5464,16564,-3055,3234,780,-1784,5464,16528,-3080,3213,755,3,Fair
-4108,5680,15324,823,-364,826,-3932,5812,15412,888,-234,885,3,Fair
720,6528,15692,-233,2076,106,1016,6824,16308,-337,2303,220,3,Fair
-5736,5128,16512,-1505,-10,322,-5872,5140,16520,-1443,-208,427,3,Fair
-6080,4444,15740,752,-1090,221,-6044,4500,15820,785,-1172,178,3,Fair
-3368,3312,17428,744,-1847,560,-3356,3252,17376,823,-1907,596,3,Fair
-4400,3524,17096,-536,419,375,-4704,3556,16932,-518,273,407,3,Fair
-2996,5440,16016,-2397,3058,477,-3196,5264,16204,-2454,3087,521,3,Fair
-6032,2324,16840,1034,-676,-71,-6076,2256,16852,1095,-849,-98,3,Fair
-4184,4852,16576,679,1065,-80,-4152,4892,16480,650,1036,-61,3,Fair
-2692,3920,15808,-400,2116,-502,-2740,3744,15764,-411,2185,-504,3,Fair
-5420,4820,15508,2528,1770,745,-5548,4656,15328,2476,1687,730,3,Fair
-2280,6084,16504,2012,-1271,-399,-2344,6068,16356,1984,-1224,-361,3,Fair
-4744,5688,16432,-1703,-976,64,-4776,5620,16184,-1728,-930,89,3,Fair
-2228,7052,16364,2551,-2366,-355,-2240,7248,16276,2452,-2294,-353,3,Fair
-3336,5740,16528,158,165,-738,-3396,5848,16480,156,176,-680,3,Fair
-2548,7008,16816,3619,-2253,-512,-2384,7168,16192,3417,-2643,-522,3,Fair
-5400,5332,16240,-1597,-927,-190,-5664,5212,16248,-1575,-914,-142,3,Fair
340,4988,17352,3753,-503,-904,576,5328,17324,3673,-360,-958,3,Fair
-4604,2844,16228,-3592,615,1444,-4720,2508,16240,-3499,569,1518,3,Fair
-3720,5060,16648,1221,372,-731,-3852,5044,16680,1188,429,-703,3,Fair
-3428,1424,17776,1415,-1612,67,-3428,1456,17752,1625,-1754,24,3,Fair
-1576,6576,16464,-1087,-1198,833,-1400,6428,16416,-1117,-1332,862,4,Almost
588,2112,17612,234,1325,299,572,2252,17520,309,1459,288,4,Almost
-3600,4372,16536,-417,-1182,-509,-3284,4324,16624,-377,-1045,-409,4,Almost
1376,2008,18448,-423,-2361,288,1756,1596,18548,-345,-2309,295,4,Almost
3028,840,17868,1496,-517,977,3072,524,17740,1470,-420,876,4,Almost
-1372,4960,17880,-501,1848,-555,-1304,4748,17864,-506,1887,-540,4,Almost
-1568,4652,16828,545,2071,-245,-1660,5100,16656,544,2028,-295,4,Almost
-1128,3972,15784,231,1560,411,-1292,4204,15880,172,1574,441,4,Almost
276,2904,17052,-378,-748,102,192,3336,17072,-397,-720,97,4,Almost
-2464,2932,16484,336,612,-511,-2404,3028,16516,315,601,-568,4,Almost
892,2956,17248,-614,94,565,972,2804,17356,-606,86,511,4,Almost
-2536,4784,16724,-575,-154,213,-2624,4944,16748,-579,-119,200,4,Almost
-52,3204,17480,194,2041,-70,-68,2960,17060,188,1962,-55,4,Almost
-2868,5276,16836,-587,-1227,153,-2788,5116,16596,-571,-1272,251,4,Almost
-1328,2820,16708,-411,845,620,-1212,2708,16760,-398,757,659,4,Almost
-224,2944,17600,806,-80,-284,-160,3428,17612,715,-65,-365,4,Almost
-1532,5088,17056,293,1910,-34,-1484,5128,16960,299,1945,-29,4,Almost
-156,4004,17464,-413,-280,-54,-272,4140,17580,-460,-322,-64,4,Almost
-3568,3580,17192,-1447,-62,258,-3708,3684,17128,-1366,-86,297,4,Almost
-264,5404,17740,-638,634,547,-428,5380,17816,-672,697,536,4,Almost
-376,1632,17600,-404,-1030,867,-356,1720,17696,-292,-919,888,4,Almost
-2940,4120,16828,152,1397,-76,-3032,4312,16552,139,1466,-102,4,Almost
-712,3988,18228,-1322,-447,821,-424,3576,18208,-1274,-507,837,4,Almost
-2144,5316,16776,385,1181,92,-2032,5444,16728,403,1211,122,4,Almost
-556,4200,17468,-204,-472,-94,-568,4188,17392,-208,-538,-48,4,Almost
-2520,3708,16260,-364,1758,545,-2708,3504,16204,-362,1853,524,4,Almost
-884,4324,17444,-231,119,228,-968,4000,17352,-180,118,294,4,Almost
-1676,5224,16796,-366,1307,212,-1736,5108,16708,-394,1355,220,4,Almost
688,4176,17692,-377,-390,654,816,4312,17716,-394,-392,682,4,Almost
-1944,5716,16960,-89,1053,11,-2084,5076,16848,-19,1047,23,4,Almost
-12152,4432,10052,290,330,89,-12016,4380,10168,276,375,77,5,Perfectly-Correct
-11684,2908,10396,-1924,-432,-197,-11860,2868,10508,-1940,-398,-137,5,Perfectly-Correct
-11792,4220,11376,-517,-976,596,-11580,4124,11444,-431,-906,634,5,Perfectly-Correct
-12236,4016,9968,203,36,908,-12252,4024,9732,223,51,932,5,Perfectly-Correct
-12740,3168,9632,511,80,1042,-12692,3232,9764,539,84,1136,5,Perfectly-Correct
-12296,2452,10344,-291,168,488,-12232,2596,10420,-283,177,545,5,Perfectly-Correct
-10848,4136,11660,-887,-1199,1869,-10764,4180,11464,-1005,-1134,1849,5,Perfectly-Correct
-11312,3956,11484,-2765,-528,-97,-11048,3560,11512,-2580,-588,134,5,Perfectly-Correct
-12004,4684,10936,-2246,-149,1386,-12236,4728,11024,-2264,-176,1282,5,Perfectly-Correct
-12536,4160,10136,-676,465,-531,-12468,4164,10072,-644,425,-563,5,Perfectly-Correct
-12532,3980,10272,-297,524,-261,-12484,3880,10288,-299,542,-317,5,Perfectly-Correct
-12076,3720,10664,1092,572,-383,-12072,3648,10680,1161,555,-353,5,Perfectly-Correct
-12172,3488,11328,165,1430,-958,-12140,3504,11540,237,1371,-891,5,Perfectly-Correct
-11600,5412,11800,-578,2035,-624,-11708,5248,11888,-650,2084,-602,5,Perfectly-Correct
-10512,5100,11472,1504,1736,659,-10416,5076,11700,1424,1744,636,5,Perfectly-Correct
-10968,4456,13168,-546,2520,-112,-10876,4380,13044,-552,2525,-129,5,Perfectly-Correct
-10916,3656,12580,-513,1644,-1196,-11100,3696,12416,-522,1617,-1243,5,Perfectly-Correct
-9628,3520,12288,-252,2442,-564,-9768,3224,12760,-273,2420,-441,5,Perfectly-Correct
-9664,2556,13372,-63,1631,-989,-9588,2684,13360,6,1599,-883,5,Perfectly-Correct
-10524,1916,13420,-93,-818,627,-10564,1944,13320,-114,-874,627,5,Perfectly-Correct
-11080,4380,12024,-1485,-361,881,-11092,4372,11932,-1451,-359,824,5,Perfectly-Correct
-12052,3072,10868,-723,58,-29,-12088,3200,10660,-660,75,13,5,Perfectly-Correct
-12188,3532,10768,440,717,370,-12064,3692,11000,631,680,348,5,Perfectly-Correct
-11700,3720,12020,570,1536,-328,-11596,3736,12388,590,1435,-395,5,Perfectly-Correct
-10616,1836,12980,199,1332,193,-10712,1816,12908,214,1309,179,5,Perfectly-Correct
-10496,2380,12532,-197,2380,-1119,-10420,2480,12572,-232,2407,-1104,5,Perfectly-Correct
-12124,2924,11876,1367,661,-41,-11820,3020,12244,1485,587,-13,5,Perfectly-Correct
-11240,3232,13476,-1789,2270,-43,-11124,3132,13404,-1723,2297,-219,5,Perfectly-Correct
